@relation WA_Fn-UseC_-Telco-Customer-Churn-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.instance.Randomize-S42_clustered

@attribute Instance_number numeric
@attribute gender {Female,Male}
@attribute SeniorCitizen numeric
@attribute Partner {Yes,No}
@attribute Dependents {No,Yes}
@attribute tenure numeric
@attribute PhoneService {No,Yes}
@attribute MultipleLines {'No phone service',No,Yes}
@attribute InternetService {DSL,'Fiber optic',No}
@attribute OnlineSecurity {No,Yes,'No internet service'}
@attribute OnlineBackup {Yes,No,'No internet service'}
@attribute DeviceProtection {No,Yes,'No internet service'}
@attribute TechSupport {No,Yes,'No internet service'}
@attribute StreamingTV {No,Yes,'No internet service'}
@attribute StreamingMovies {No,Yes,'No internet service'}
@attribute Contract {Month-to-month,'One year','Two year'}
@attribute PaperlessBilling {Yes,No}
@attribute PaymentMethod {'Electronic check','Mailed check','Bank transfer (automatic)','Credit card (automatic)'}
@attribute MonthlyCharges numeric
@attribute TotalCharges numeric
@attribute Churn {No,Yes}
@attribute Cluster {cluster0,cluster1}

@data
3411,Male,0,Yes,Yes,12,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',Yes,'Bank transfer (automatic)',25.4,313,No,cluster0
3412,Male,0,Yes,Yes,28,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',Yes,'Credit card (automatic)',20.3,487.95,No,cluster0
3413,Male,0,Yes,No,58,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Mailed check',20.75,1185.95,No,cluster0
3414,Female,0,No,No,2,Yes,No,'Fiber optic',No,No,Yes,No,No,Yes,Month-to-month,Yes,'Mailed check',86.2,178.7,Yes,cluster1
3415,Female,0,No,Yes,4,Yes,Yes,'Fiber optic',No,Yes,Yes,No,No,No,Month-to-month,No,'Bank transfer (automatic)',84.05,333.55,Yes,cluster1
3416,Male,0,No,No,19,Yes,No,'Fiber optic',No,Yes,No,No,No,No,Month-to-month,Yes,'Credit card (automatic)',73.85,1424.5,Yes,cluster1
3417,Male,1,Yes,No,24,No,'No phone service',DSL,Yes,No,No,No,No,Yes,Month-to-month,No,'Bank transfer (automatic)',39.1,971.3,Yes,cluster1
3418,Female,0,No,No,36,Yes,Yes,DSL,No,No,Yes,No,No,No,'One year',No,'Electronic check',55.8,1941.5,No,cluster1
3419,Female,0,No,No,55,Yes,No,DSL,No,Yes,Yes,No,No,Yes,'Two year',Yes,'Mailed check',64.75,3617.1,No,cluster1
3420,Male,1,Yes,No,44,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',Yes,'Credit card (automatic)',19.35,847.25,No,cluster0
3421,Male,0,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,'One year',Yes,'Bank transfer (automatic)',65.85,3928.3,No,cluster1
3422,Female,0,No,Yes,1,Yes,No,'Fiber optic',No,No,No,No,No,Yes,Month-to-month,No,'Electronic check',78.65,78.65,Yes,cluster1
3423,Female,1,No,No,27,Yes,Yes,'Fiber optic',Yes,Yes,Yes,No,Yes,Yes,'One year',Yes,'Bank transfer (automatic)',110.5,2857.6,No,cluster1
3424,Male,1,Yes,No,57,No,'No phone service',DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,'Electronic check',44.85,2572.95,Yes,cluster1
3425,Male,0,Yes,No,67,Yes,Yes,'Fiber optic',No,Yes,Yes,Yes,Yes,Yes,'Two year',Yes,'Bank transfer (automatic)',111.3,7567.2,No,cluster1
3426,Male,0,No,No,21,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,Yes,'Mailed check',19.95,416.4,No,cluster0
3427,Male,0,Yes,Yes,72,No,'No phone service',DSL,Yes,Yes,Yes,Yes,Yes,Yes,'Two year',Yes,'Bank transfer (automatic)',65.65,4664.5,No,cluster0
3428,Female,1,Yes,Yes,47,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,No,'Bank transfer (automatic)',70.55,3309.25,Yes,cluster1
3429,Male,0,Yes,Yes,4,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Mailed check',69.55,284.9,No,cluster1
3430,Female,1,Yes,No,29,Yes,Yes,'Fiber optic',No,No,Yes,No,Yes,Yes,Month-to-month,Yes,'Bank transfer (automatic)',99.05,2952.85,Yes,cluster1
3431,Male,1,No,No,3,Yes,Yes,'Fiber optic',No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,'Electronic check',105,294.45,Yes,cluster1
3432,Female,0,No,No,54,Yes,Yes,'Fiber optic',No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,'Electronic check',111.1,6014.85,Yes,cluster1
3433,Female,0,Yes,No,64,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,'Two year',Yes,'Mailed check',74.35,4759.55,No,cluster0
3434,Male,1,Yes,No,23,Yes,No,'Fiber optic',No,No,No,No,Yes,Yes,Month-to-month,Yes,'Electronic check',90.45,2117.25,No,cluster1
3435,Male,1,Yes,No,33,Yes,Yes,'Fiber optic',No,Yes,No,No,Yes,Yes,Month-to-month,Yes,'Bank transfer (automatic)',100.6,3270.25,No,cluster1
3436,Female,1,No,No,39,Yes,Yes,'Fiber optic',No,No,Yes,No,Yes,Yes,Month-to-month,Yes,'Electronic check',99.75,4036,No,cluster1
3437,Male,0,No,No,15,Yes,Yes,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Mailed check',76,1130.85,Yes,cluster1
3438,Male,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,'Two year',No,'Bank transfer (automatic)',69.85,5102.35,No,cluster0
3439,Female,0,No,No,70,Yes,Yes,'Fiber optic',No,Yes,Yes,Yes,No,No,'One year',Yes,'Bank transfer (automatic)',90.25,6385.95,No,cluster1
3440,Female,0,No,No,16,Yes,No,'Fiber optic',No,Yes,No,No,No,No,Month-to-month,No,'Bank transfer (automatic)',75.1,1212.85,No,cluster1
3441,Female,0,No,Yes,50,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Credit card (automatic)',20.15,970.85,No,cluster0
3442,Male,0,No,No,10,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,'Bank transfer (automatic)',56.75,503.25,No,cluster1
3443,Female,0,No,No,8,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,'Electronic check',65.45,554.45,No,cluster1
3444,Female,0,Yes,No,72,Yes,Yes,'Fiber optic',Yes,Yes,Yes,Yes,Yes,Yes,'Two year',Yes,'Bank transfer (automatic)',115.5,8312.75,No,cluster1
3445,Male,0,No,No,11,Yes,No,'Fiber optic',No,Yes,No,No,No,No,Month-to-month,Yes,'Mailed check',75.9,866.4,No,cluster1
3446,Male,0,No,No,11,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,No,'Electronic check',70.2,760.05,No,cluster1
3447,Male,0,No,No,30,Yes,No,'Fiber optic',No,No,No,No,Yes,Yes,Month-to-month,Yes,'Electronic check',90.25,2755.35,Yes,cluster1
3448,Female,0,Yes,Yes,69,Yes,Yes,'Fiber optic',Yes,No,Yes,No,No,No,'One year',No,'Bank transfer (automatic)',84.45,5848.6,No,cluster1
3449,Male,0,No,No,1,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',69.8,69.8,Yes,cluster1
3450,Female,0,No,No,1,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',19.65,19.65,Yes,cluster0
3451,Female,0,Yes,Yes,72,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,'Two year',Yes,'Bank transfer (automatic)',80.45,5886.85,No,cluster1
3452,Male,0,No,No,5,Yes,No,'Fiber optic',No,No,No,Yes,Yes,Yes,Month-to-month,Yes,'Electronic check',96.1,453.4,Yes,cluster1
3453,Male,0,No,No,4,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,'Mailed check',50.4,206.6,Yes,cluster1
3454,Female,0,No,Yes,11,No,'No phone service',DSL,Yes,No,No,Yes,No,No,'One year',Yes,'Mailed check',36.05,402.6,No,cluster1
3455,Male,0,Yes,Yes,35,Yes,Yes,'Fiber optic',No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,'Electronic check',109.95,3782.4,No,cluster1
3456,Female,0,No,No,3,Yes,No,'Fiber optic',Yes,No,No,No,No,No,Month-to-month,Yes,'Electronic check',74.55,233.65,No,cluster1
3457,Male,0,No,No,35,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Bank transfer (automatic)',26.2,954.9,No,cluster0
3458,Male,0,Yes,Yes,44,No,'No phone service',DSL,Yes,Yes,Yes,Yes,No,Yes,'Two year',Yes,'Credit card (automatic)',54.05,2375.2,No,cluster0
3459,Male,0,No,No,21,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',20,417.7,No,cluster0
3460,Female,0,No,No,3,Yes,Yes,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',75.8,246.3,Yes,cluster1
3461,Female,1,No,No,1,Yes,Yes,'Fiber optic',No,No,No,No,No,Yes,Month-to-month,Yes,'Electronic check',85.05,85.05,Yes,cluster1
3462,Male,0,Yes,Yes,63,No,'No phone service',DSL,Yes,Yes,Yes,No,Yes,Yes,'Two year',No,'Electronic check',59,3707.6,No,cluster0
3463,Male,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,'One year',No,'Bank transfer (automatic)',78.35,5445.95,No,cluster0
3464,Male,0,No,No,24,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,'Electronic check',54.95,1348.5,No,cluster1
3465,Female,0,Yes,Yes,41,Yes,No,DSL,No,Yes,No,Yes,No,Yes,'One year',Yes,'Bank transfer (automatic)',66.5,2728.6,Yes,cluster1
3466,Female,0,No,No,6,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,No,'Credit card (automatic)',70.55,433.95,No,cluster1
3467,Female,0,No,No,15,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,'Electronic check',48.85,736.8,No,cluster1
3468,Female,1,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,'Two year',Yes,'Bank transfer (automatic)',89.85,6697.35,No,cluster1
3469,Female,0,Yes,Yes,72,No,'No phone service',DSL,Yes,Yes,Yes,Yes,No,Yes,'Two year',No,'Credit card (automatic)',55.65,3880.05,No,cluster0
3470,Male,0,No,Yes,12,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Credit card (automatic)',21.05,235.8,No,cluster0
3471,Male,0,No,No,1,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',50.15,50.15,No,cluster1
3472,Male,1,No,No,42,Yes,Yes,'Fiber optic',No,Yes,No,No,No,No,Month-to-month,Yes,'Bank transfer (automatic)',79.35,3344.1,No,cluster1
3473,Male,0,No,No,72,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',Yes,'Mailed check',20.8,1521.2,No,cluster0
3474,Male,0,No,Yes,3,Yes,Yes,'Fiber optic',No,No,Yes,No,No,Yes,Month-to-month,No,'Electronic check',91.85,257.05,Yes,cluster1
3475,Female,0,Yes,Yes,56,Yes,Yes,'Fiber optic',No,No,Yes,No,Yes,Yes,'One year',Yes,'Credit card (automatic)',99.8,5515.45,No,cluster1
3476,Male,0,No,No,1,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',70.3,70.3,Yes,cluster1
3477,Female,0,No,No,57,No,'No phone service',DSL,Yes,No,Yes,Yes,No,No,'One year',Yes,'Credit card (automatic)',41.1,2258.25,No,cluster1
3478,Female,1,Yes,No,48,Yes,No,DSL,No,Yes,No,No,No,Yes,'One year',Yes,'Bank transfer (automatic)',58.95,2789.7,No,cluster1
3479,Female,0,No,No,49,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,'Two year',No,'Bank transfer (automatic)',67.4,3306.85,No,cluster1
3480,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,'One year',Yes,'Credit card (automatic)',54.4,957.1,No,cluster1
3481,Female,1,No,No,2,Yes,Yes,'Fiber optic',No,No,No,No,Yes,Yes,Month-to-month,Yes,'Electronic check',93.85,170.85,Yes,cluster1
3482,Male,0,Yes,No,15,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,Yes,'Credit card (automatic)',19.45,340.85,No,cluster0
3483,Female,0,No,No,5,Yes,No,'Fiber optic',No,Yes,No,No,Yes,No,Month-to-month,Yes,'Mailed check',85.3,420.45,No,cluster1
3484,Male,0,No,No,40,Yes,Yes,'Fiber optic',No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,'Credit card (automatic)',104.5,4036.85,Yes,cluster1
3485,Male,0,No,No,19,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,'Mailed check',69.6,1394.55,No,cluster1
3486,Female,1,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,'One year',No,'Electronic check',69.2,4982.5,No,cluster1
3487,Male,1,Yes,No,20,Yes,No,'Fiber optic',No,Yes,No,No,No,No,Month-to-month,Yes,'Electronic check',73.65,1463.5,Yes,cluster1
3488,Male,0,No,No,1,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',20.15,20.15,Yes,cluster0
3489,Female,0,No,No,2,Yes,No,'Fiber optic',No,No,Yes,No,No,No,Month-to-month,Yes,'Electronic check',75.8,160.75,Yes,cluster1
3490,Female,0,Yes,No,42,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',50.25,2203.65,Yes,cluster1
3491,Male,0,Yes,No,31,Yes,Yes,'Fiber optic',No,Yes,Yes,No,Yes,No,Month-to-month,No,'Electronic check',93.8,3019.5,Yes,cluster1
3492,Female,0,Yes,Yes,43,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Mailed check',20,817.95,No,cluster0
3493,Male,1,No,No,21,Yes,Yes,'Fiber optic',No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,'Electronic check',104.35,2271.85,No,cluster1
3494,Male,0,Yes,No,14,Yes,Yes,'Fiber optic',No,No,No,No,No,Yes,Month-to-month,Yes,'Electronic check',85.15,1139.2,Yes,cluster1
3495,Female,0,No,No,25,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,'Credit card (automatic)',76.15,1992.95,No,cluster1
3496,Female,0,No,No,21,Yes,No,'Fiber optic',No,Yes,Yes,No,No,Yes,Month-to-month,Yes,'Electronic check',90.05,1862.9,No,cluster1
3497,Female,0,No,No,19,Yes,No,DSL,No,Yes,No,No,Yes,No,'One year',No,'Electronic check',58.2,1045.25,No,cluster1
3498,Male,0,Yes,No,71,Yes,Yes,'Fiber optic',Yes,Yes,Yes,Yes,Yes,Yes,'Two year',Yes,'Electronic check',116.25,8564.75,No,cluster1
3499,Male,0,Yes,No,18,Yes,Yes,'Fiber optic',Yes,No,No,No,Yes,Yes,Month-to-month,Yes,'Electronic check',99.4,1742.95,Yes,cluster1
3500,Male,0,No,Yes,71,Yes,Yes,'Fiber optic',Yes,No,Yes,No,Yes,Yes,'Two year',No,'Bank transfer (automatic)',106.7,7382.25,No,cluster1
3501,Male,1,Yes,No,3,Yes,Yes,'Fiber optic',No,No,No,No,Yes,Yes,Month-to-month,Yes,'Electronic check',94.6,279.55,Yes,cluster1
3502,Male,1,No,No,50,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,'Bank transfer (automatic)',70.35,3454.6,No,cluster1
3503,Male,0,No,No,46,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,'Credit card (automatic)',45.2,2065.15,No,cluster1
3504,Female,0,No,No,19,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,'Mailed check',56.1,1033.9,No,cluster1
3505,Female,0,No,No,12,No,'No phone service',DSL,No,Yes,Yes,Yes,Yes,Yes,'One year',No,'Electronic check',60.65,743.3,No,cluster1
3506,Male,0,No,No,27,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Credit card (automatic)',20.35,531.6,No,cluster0
3507,Male,0,Yes,Yes,72,Yes,Yes,'Fiber optic',Yes,Yes,Yes,Yes,Yes,Yes,'Two year',Yes,'Credit card (automatic)',114.3,8058.55,No,cluster1
3508,Male,1,Yes,No,69,No,'No phone service',DSL,No,No,Yes,No,No,No,'One year',Yes,'Credit card (automatic)',29.8,2134.3,No,cluster1
3509,Female,0,Yes,Yes,69,Yes,Yes,'Fiber optic',No,Yes,Yes,Yes,Yes,Yes,'One year',Yes,'Bank transfer (automatic)',108.75,7493.05,No,cluster1
3510,Female,1,No,No,1,No,'No phone service',DSL,No,No,No,No,Yes,No,Month-to-month,Yes,'Electronic check',36.45,36.45,Yes,cluster1
3511,Male,0,No,No,4,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,'Electronic check',56.75,245.15,No,cluster1
3512,Female,0,No,No,1,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Mailed check',70.7,70.7,No,cluster1
3513,Female,0,Yes,Yes,58,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Credit card (automatic)',25.15,1509.9,No,cluster0
3514,Female,0,No,No,9,Yes,Yes,'Fiber optic',No,No,Yes,No,Yes,Yes,Month-to-month,No,'Credit card (automatic)',98.3,923.5,Yes,cluster1
3515,Male,0,No,No,51,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Mailed check',24.75,1234.6,No,cluster0
3516,Male,1,No,No,55,No,'No phone service',DSL,No,No,Yes,No,Yes,Yes,'One year',Yes,'Bank transfer (automatic)',50.05,2743.45,No,cluster1
3517,Female,0,No,Yes,15,Yes,No,'Fiber optic',No,Yes,No,No,No,Yes,Month-to-month,Yes,'Bank transfer (automatic)',85.9,1269.55,Yes,cluster1
3518,Male,0,No,No,54,Yes,Yes,'Fiber optic',No,Yes,No,No,No,No,Month-to-month,Yes,'Bank transfer (automatic)',79.85,4308.25,No,cluster1
3519,Female,0,No,No,50,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,'Two year',Yes,'Mailed check',79.6,4024.2,No,cluster1
3520,Male,0,No,No,63,Yes,Yes,'Fiber optic',No,Yes,Yes,No,Yes,Yes,'Two year',Yes,'Bank transfer (automatic)',104.75,6536.5,No,cluster1
3521,Female,0,No,No,1,No,'No phone service',DSL,No,No,No,No,No,No,Month-to-month,Yes,'Mailed check',25.15,25.15,No,cluster1
3522,Male,0,No,No,4,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,'Credit card (automatic)',51.75,201.1,Yes,cluster1
3523,Male,0,No,No,57,No,'No phone service',DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,'Electronic check',53.75,3196,No,cluster1
3524,Male,0,Yes,Yes,21,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,'One year',Yes,'Bank transfer (automatic)',75.9,1549.75,No,cluster1
3525,Female,0,Yes,Yes,18,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Mailed check',19.35,309.25,No,cluster0
3526,Male,0,No,No,24,Yes,No,'Fiber optic',No,No,No,Yes,Yes,Yes,Month-to-month,Yes,'Electronic check',96,2122.45,Yes,cluster1
3527,Female,0,No,No,48,Yes,No,DSL,Yes,No,Yes,Yes,No,No,'One year',Yes,'Credit card (automatic)',60.35,2896.4,Yes,cluster1
3528,Female,0,Yes,No,40,Yes,Yes,'Fiber optic',Yes,No,Yes,No,Yes,Yes,'One year',No,'Bank transfer (automatic)',105.75,4228.55,No,cluster1
3529,Male,1,No,No,1,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',71.65,71.65,Yes,cluster1
3530,Male,1,Yes,No,67,Yes,Yes,'Fiber optic',No,No,No,No,Yes,Yes,Month-to-month,Yes,'Credit card (automatic)',94.65,6079,No,cluster1
3531,Male,0,No,No,69,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Bank transfer (automatic)',23.95,1713.1,No,cluster0
3532,Female,0,No,No,38,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Mailed check',20.05,741.5,No,cluster0
3533,Male,1,No,No,22,Yes,Yes,'Fiber optic',No,No,No,No,Yes,Yes,Month-to-month,Yes,'Electronic check',96.7,2082.95,Yes,cluster1
3534,Male,0,No,No,22,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,'Mailed check',65.05,1427.55,No,cluster1
3535,Female,0,Yes,Yes,72,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,'Two year',No,'Bank transfer (automatic)',66.85,4758.8,No,cluster1
3536,Female,0,No,No,1,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,'Electronic check',54.65,54.65,No,cluster1
3537,Male,0,No,No,45,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',Yes,'Electronic check',20.4,930.45,Yes,cluster0
3538,Male,0,No,No,1,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,Yes,'Mailed check',20.45,20.45,No,cluster0
3539,Female,0,No,No,1,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Mailed check',70.15,70.15,Yes,cluster1
3540,Male,0,No,No,26,Yes,Yes,'Fiber optic',No,No,No,No,No,Yes,Month-to-month,Yes,'Electronic check',83.95,2254.2,Yes,cluster1
3541,Female,0,Yes,Yes,56,Yes,Yes,'Fiber optic',No,Yes,Yes,Yes,No,Yes,'One year',Yes,'Credit card (automatic)',99.75,5608.4,No,cluster1
3542,Female,1,No,No,33,No,'No phone service',DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,'Bank transfer (automatic)',59.45,1884.65,No,cluster1
3543,Male,0,No,No,1,No,'No phone service',DSL,No,No,No,No,No,Yes,Month-to-month,Yes,'Bank transfer (automatic)',35.25,35.25,Yes,cluster1
3544,Female,0,No,Yes,16,Yes,Yes,'Fiber optic',No,No,No,Yes,No,No,'One year',Yes,'Credit card (automatic)',79.5,1264.2,No,cluster1
3545,Male,0,Yes,No,28,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,'Mailed check',60.9,1785.65,No,cluster0
3546,Female,0,Yes,Yes,46,Yes,No,'Fiber optic',No,No,Yes,Yes,No,Yes,'One year',No,'Bank transfer (automatic)',90.95,4236.6,No,cluster1
3547,Female,0,Yes,Yes,69,Yes,Yes,'Fiber optic',Yes,Yes,Yes,Yes,Yes,Yes,'Two year',No,'Credit card (automatic)',113.25,7895.15,No,cluster1
3548,Male,0,No,Yes,52,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Credit card (automatic)',25.6,1334.5,No,cluster0
3549,Female,0,Yes,No,29,Yes,Yes,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',74.95,2149.05,No,cluster1
3550,Female,0,No,No,35,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Bank transfer (automatic)',23.3,797.1,No,cluster0
3551,Female,0,No,No,24,No,'No phone service',DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,'Credit card (automatic)',54.15,1240.25,Yes,cluster1
3552,Female,0,Yes,No,60,Yes,Yes,'Fiber optic',Yes,Yes,No,No,No,Yes,Month-to-month,Yes,'Credit card (automatic)',94.1,5475.9,No,cluster1
3553,Female,1,No,No,6,No,'No phone service',DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,'Electronic check',44.4,263.05,No,cluster1
3554,Male,0,Yes,No,5,Yes,Yes,'Fiber optic',No,Yes,No,No,No,No,Month-to-month,Yes,'Electronic check',78.75,412.1,Yes,cluster1
3555,Male,0,No,No,43,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Mailed check',19.55,876.15,No,cluster0
3556,Female,0,Yes,No,15,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Credit card (automatic)',20.45,330.8,No,cluster0
3557,Male,0,No,No,1,Yes,Yes,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',74.9,74.9,Yes,cluster1
3558,Male,0,Yes,Yes,69,Yes,Yes,'Fiber optic',No,Yes,Yes,No,Yes,No,'One year',No,'Credit card (automatic)',95.75,6511.25,No,cluster1
3559,Male,0,Yes,No,28,Yes,No,DSL,Yes,No,No,Yes,No,No,'One year',No,'Mailed check',54.35,1426.45,No,cluster0
3560,Female,0,No,No,1,Yes,Yes,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Mailed check',75.05,75.05,Yes,cluster1
3561,Male,0,No,No,62,Yes,Yes,'Fiber optic',Yes,Yes,No,No,No,Yes,'One year',Yes,'Bank transfer (automatic)',92.3,5731.45,No,cluster1
3562,Female,1,Yes,No,61,Yes,Yes,'Fiber optic',No,Yes,Yes,No,Yes,Yes,'One year',Yes,'Credit card (automatic)',104.4,6405,Yes,cluster1
3563,Male,0,Yes,No,3,No,'No phone service',DSL,No,No,No,Yes,No,No,Month-to-month,Yes,'Electronic check',29.9,92.25,No,cluster1
3564,Male,0,Yes,No,31,Yes,Yes,'Fiber optic',No,No,Yes,No,Yes,No,Month-to-month,No,'Credit card (automatic)',88.65,2683.2,No,cluster1
3565,Male,0,No,No,20,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,'Mailed check',50,1003.05,No,cluster1
3566,Male,0,No,No,17,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',Yes,'Mailed check',20.1,279.5,No,cluster0
3567,Male,0,No,No,3,Yes,No,'Fiber optic',No,Yes,Yes,No,No,Yes,Month-to-month,No,'Electronic check',90.4,268.45,No,cluster1
3568,Female,0,Yes,No,61,Yes,No,'Fiber optic',Yes,Yes,No,Yes,No,Yes,'One year',No,'Bank transfer (automatic)',93.7,5860.7,No,cluster1
3569,Male,0,No,No,1,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',19.05,19.05,No,cluster0
3570,Female,0,Yes,No,54,Yes,Yes,DSL,No,No,No,No,Yes,Yes,'One year',Yes,'Credit card (automatic)',70.15,3715.65,Yes,cluster1
3571,Male,1,No,No,5,No,'No phone service',DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,'Credit card (automatic)',45.4,214.75,No,cluster1
3572,Female,1,Yes,No,72,Yes,Yes,'Fiber optic',Yes,Yes,Yes,Yes,No,No,'Two year',Yes,'Bank transfer (automatic)',96.6,6827.5,No,cluster1
3573,Male,0,Yes,No,47,Yes,Yes,'Fiber optic',No,Yes,No,No,No,No,'One year',Yes,'Electronic check',78.9,3650.35,No,cluster1
3574,Male,0,Yes,Yes,1,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',19.7,19.7,No,cluster0
